ID,First Name,Last Name,Team,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam,gameweek
389,Joshua,Zirkzee,14,45,0,0,0,1,0,0,0,0,0,0,0,5,11.4,11.0,4.0,2.6,0,0.0,0.03,0.03,1.28,1,False,2
398,Anthony,Gordon,15,88,1,0,0,1,0,0,0,0,0,0,3,38,45.8,59.8,40.0,14.6,1,0.65,0.38,1.03,2.15,10,False,2
399,Lewis,Hall,15,21,0,0,0,0,0,0,0,0,0,0,0,6,17.2,15.3,2.0,3.5,0,0.0,0.1,0.1,0.42,1,False,2
494,James,Maddison,18,78,0,1,1,0,0,0,0,0,0,0,0,25,38.6,41.8,31.0,11.1,1,0.41,0.38,0.79,1.0,6,False,2
495,Pedro,Porro,18,90,0,0,1,0,0,0,0,0,0,0,0,23,25.2,21.5,1.0,4.8,1,0.03,0.11,0.14,1.0,6,False,2
497,Richarlison,de Andrade,18,24,0,0,0,0,0,0,0,0,0,0,0,5,3.2,1.2,0.0,0.4,0,0.0,0.0,0.0,0.0,1,False,2
13,Martin,Ødegaard,1,73,0,0,0,1,0,0,0,0,0,0,0,9,10.0,16.8,25.0,5.2,1,0.18,0.08,0.26,1.18,2,False,3
15,David,Raya Martin,1,90,0,0,0,1,0,0,0,1,0,3,0,8,33.6,0.0,0.0,3.4,1,0.0,0.01,0.01,1.83,2,False,3
24,Benjamin,White,1,90,0,0,0,1,0,0,0,0,0,0,0,8,22.0,0.8,5.0,2.8,1,0.04,0.0,0.04,1.83,2,False,3
45,Ian,Maatsen,2,11,0,0,0,0,0,0,0,0,0,0,0,2,2.0,0.0,2.0,0.4,0,0.01,0.0,0.01,0.05,1,False,3
136,Mitoma,Kaoru,5,84,0,0,0,1,0,0,0,0,0,0,0,13,5.8,27.0,12.0,4.5,1,0.04,0.14,0.18,2.08,2,False,3
180,Nicolas,Jackson,6,90,1,0,0,1,0,0,0,1,0,0,1,27,37.0,0.6,77.0,11.5,1,1.34,0.0,1.34,0.44,6,False,3
235,Jordan,Pickford,8,90,0,0,0,3,0,0,0,0,0,4,0,5,29.0,0.0,0.0,2.9,1,0.0,0.0,0.0,2.22,2,False,3
335,Andrew,Robertson,12,82,0,0,1,0,0,0,0,0,0,0,0,25,9.6,22.0,0.0,3.2,1,0.0,0.07,0.07,1.34,6,False,3
351,Erling,Haaland,13,90,3,0,0,1,0,0,0,0,0,0,3,93,106.8,11.1,66.0,18.4,1,1.71,0.11,1.82,0.73,17,True,3
389,Joshua,Zirkzee,14,85,0,0,0,3,0,0,0,1,0,0,0,-6,0.8,4.0,39.0,4.4,1,0.88,0.02,0.9,1.3,1,False,3
398,Anthony,Gordon,15,90,0,0,0,1,0,0,0,0,0,0,0,5,12.2,43.3,2.0,5.8,1,0.0,0.31,0.31,1.26,2,False,3
399,Lewis,Hall,15,22,0,0,0,0,0,0,0,0,0,0,0,3,5.4,0.1,0.0,0.6,0,0.0,0.0,0.0,0.27,1,False,3
494,James,Maddison,18,81,0,0,0,2,0,0,0,1,0,0,0,13,16.2,32.3,26.0,7.5,1,0.07,0.07,0.14,1.57,1,False,3
495,Pedro,Porro,18,90,0,0,0,2,0,0,0,0,0,0,0,4,16.0,15.9,23.0,5.5,1,0.21,0.17,0.38,1.57,1,False,3
621,João,Félix Sequeira,6,32,0,0,0,0,0,0,0,0,0,0,0,4,6.8,2.3,7.0,1.6,0,0.03,0.01,0.04,0.31,1,False,3
