ID,First Name,Last Name,Team,Position,Assists,bonus,Total points,xA,CS,Gc,Goals Scored,minutes,red_cards,starts,xG,xGi,xGc,code,PpG
143,Deniz,Undav,5,4,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,450434,0.0
144,Jan Paul,van Hecke,5,2,0,0,6,0.00,1,0,0,90,0,1,0.00,0.00,0.45,469142,6.0
145,Joël,Veltman,5,2,0,2,8,0.00,1,0,0,90,0,1,0.00,0.00,0.45,111478,8.0
146,Bart,Verbruggen,5,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,489639,0.0
147,Adam,Webster,5,2,0,0,1,0.02,0,0,0,14,0,0,0.00,0.02,0.00,110735,1.0
148,Danny,Welbeck,5,4,1,3,12,0.04,1,0,1,90,0,1,0.20,0.24,0.45,50175,12.0
149,Mats,Wieffer,5,3,1,0,6,0.02,1,0,0,90,0,1,0.00,0.02,0.45,467779,6.0
150,Andrey,Nascimento dos Santos,6,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,532605,0.0
151,Ângelo Gabriel,Borges Damaceno,6,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,518620,0.0
152,Kepa,Arrizabalaga,6,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,109745,0.0
153,Benoît,Badiashile,6,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,242880,0.0
154,Lucas,Bergström,6,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,482158,0.0
155,Marcus,Bettinelli,6,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,122074,0.0
156,Armando,Broja,6,4,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,440323,0.0
157,Moisés,Caicedo Corozo,6,3,0,0,1,0.06,0,2,0,90,0,1,0.03,0.09,0.77,486672,1.0
158,Cesare,Casadei,6,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,505187,0.0
159,Trevoh,Chalobah,6,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,180736,0.0
160,Ben,Chilwell,6,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,172850,0.0
161,Carney,Chukwuemeka,6,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,478912,0.0
162,Levi,Colwill,6,2,0,0,1,0.01,0,2,0,90,0,1,0.00,0.01,0.77,460028,1.0
163,Marc,Cucurella Saseta,6,2,0,0,2,0.02,0,1,0,79,0,1,0.00,0.02,0.69,179268,2.0
164,David Datro,Fofana,6,4,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,520295,0.0
165,Deivid Washington,de Souza Eugênio,6,4,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,617054,0.0
166,Kiernan,Dewsbury-Hall,6,3,0,0,1,0.01,0,1,0,24,0,0,0.00,0.01,0.11,215413,1.0
167,Axel,Disasi,6,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,220362,0.0
168,Enzo,Fernández,6,3,0,0,2,0.08,0,2,0,90,0,1,0.22,0.30,0.77,448047,2.0
169,Conor,Gallagher,6,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,232787,0.0
170,Alfie,Gilchrist,6,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,514280,0.0
171,Malo,Gusto,6,2,0,0,1,0.07,0,2,0,90,0,1,0.00,0.07,0.77,482609,1.0
172,Reece,James,6,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,225796,0.0
173,Omari,Kellyman,6,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,549068,0.0
174,Roméo,Lavia,6,3,0,0,2,0.18,0,1,0,65,0,1,0.00,0.18,0.66,514356,2.0
175,Romelu,Lukaku Bolingoli,6,4,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,66749,0.0
176,Malang,Sarr,6,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,204727,0.0
177,Noni,Madueke,6,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,248857,0.0
178,Marc,Guiu Paz,6,4,0,0,1,0.00,0,1,0,24,0,0,0.00,0.00,0.11,499309,1.0
