ID_x,First Name_x,Last Name_x,Team,Position,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam,gameweek,team_position,team_id,ID_y,First Name_y,Last Name_y,short_name,waiver_pick,Team Name
345,Kevin,De Bruyne,13,3,90,0,0,0,1,0,0,0,0,0,0,0,7,13.8,67.4,15.0,9.6,1,0.06,0.56,0.62,0.96,2,False,4,5.0,307954,310584,Tiago,Duarte,TD,4,Avengers Assemble
348,Phil,Foden,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,False,4,13.0,307954,310584,Tiago,Duarte,TD,4,Avengers Assemble
366,Bruno,Borges Fernandes,14,3,90,0,1,1,0,0,0,0,1,0,0,0,20,28.0,18.2,20.0,6.6,1,0.22,0.35,0.57,1.12,5,False,4,6.0,307954,310584,Tiago,Duarte,TD,4,Avengers Assemble
369,Diogo,Dalot Teixeira,14,2,90,0,1,1,0,0,0,0,0,0,0,2,40,24.2,24.8,8.0,5.7,1,0.0,0.48,0.48,1.12,11,True,4,15.0,307954,310584,Tiago,Duarte,TD,4,Avengers Assemble
447,Chris,Wood,16,4,80,0,0,1,0,0,0,0,0,0,0,0,4,4.4,10.6,17.0,3.2,1,0.13,0.01,0.14,0.85,2,False,4,9.0,307954,310584,Tiago,Duarte,TD,4,Avengers Assemble
492,Dejan,Kulusevski,18,3,90,0,0,0,1,0,0,0,1,0,0,0,2,10.6,12.6,31.0,5.4,1,0.16,0.11,0.27,0.73,1,False,4,8.0,307954,310584,Tiago,Duarte,TD,4,Avengers Assemble
508,Guglielmo,Vicario,18,1,90,0,0,0,1,0,0,0,1,0,3,0,8,27.4,0.0,0.0,2.7,1,0.0,0.0,0.0,0.73,2,False,4,12.0,307954,310584,Tiago,Duarte,TD,4,Avengers Assemble
15,David,Raya Martin,1,1,90,0,0,1,0,0,0,0,0,0,5,2,33,41.0,0.0,0.0,4.1,1,0.0,0.0,0.0,0.74,9,False,4,1.0,318423,321105,Diogo,Santana,DS,1,De tu Madre FC
24,Benjamin,White,1,2,90,0,0,1,0,0,0,0,0,0,0,0,23,10.2,1.9,0.0,1.2,1,0.0,0.01,0.01,0.74,6,False,4,2.0,318423,321105,Diogo,Santana,DS,1,De tu Madre FC
38,Jhon,Durán,2,4,21,1,0,0,0,0,0,0,0,0,0,1,27,29.2,0.5,15.0,4.5,0,0.33,0.0,0.33,0.23,6,False,4,11.0,318423,321105,Diogo,Santana,DS,1,De tu Madre FC
45,Ian,Maatsen,2,2,21,0,0,0,0,0,0,0,0,0,0,0,9,3.4,36.0,4.0,4.3,0,0.0,0.4,0.4,0.23,1,False,4,15.0,318423,321105,Diogo,Santana,DS,1,De tu Madre FC
135,Yankuba,Minteh,5,3,67,0,0,1,0,0,0,0,1,0,0,0,6,5.6,34.1,12.0,5.2,1,0.0,0.2,0.2,0.21,2,False,4,6.0,318423,321105,Diogo,Santana,DS,1,De tu Madre FC
136,Mitoma,Kaoru,5,3,90,0,0,1,0,0,0,0,0,0,0,0,3,11.4,6.6,60.0,7.8,1,0.65,0.02,0.67,0.35,3,False,4,5.0,318423,321105,Diogo,Santana,DS,1,De tu Madre FC
180,Nicolas,Jackson,6,4,78,0,0,1,0,0,0,0,1,0,0,0,0,1.4,5.4,26.0,3.3,1,0.31,0.01,0.32,1.55,1,False,4,9.0,318423,321105,Diogo,Santana,DS,1,De tu Madre FC
235,Jordan,Pickford,8,1,90,0,0,0,3,0,0,0,0,0,4,0,7,32.4,0.0,0.0,3.2,1,0.0,0.01,0.01,2.12,2,False,4,12.0,318423,321105,Diogo,Santana,DS,1,De tu Madre FC
335,Andrew,Robertson,12,2,74,0,0,0,1,0,0,0,1,0,0,0,6,3.0,20.9,0.0,2.4,1,0.0,0.09,0.09,0.25,1,False,4,4.0,318423,321105,Diogo,Santana,DS,1,De tu Madre FC
351,Erling,Haaland,13,4,90,2,0,0,1,0,0,0,0,0,0,3,58,72.2,1.5,85.0,15.9,1,1.1,0.01,1.11,0.96,13,True,4,10.0,318423,321105,Diogo,Santana,DS,1,De tu Madre FC
398,Anthony,Gordon,15,3,90,0,0,0,1,0,0,0,0,0,0,0,17,11.8,28.9,14.0,5.5,1,0.18,0.18,0.36,0.99,2,False,4,8.0,318423,321105,Diogo,Santana,DS,1,De tu Madre FC
399,Lewis,Hall,15,2,90,0,0,0,1,0,0,0,0,0,0,0,18,19.6,16.4,0.0,3.6,1,0.0,0.04,0.04,0.99,2,False,4,13.0,318423,321105,Diogo,Santana,DS,1,De tu Madre FC
494,James,Maddison,18,3,79,0,0,0,1,0,0,0,0,0,0,0,20,19.0,46.6,6.0,7.2,1,0.0,0.35,0.35,0.73,2,False,4,7.0,318423,321105,Diogo,Santana,DS,1,De tu Madre FC
495,Pedro,Porro,18,2,90,0,0,0,1,0,0,0,0,0,0,0,18,38.0,57.1,2.0,9.7,1,0.0,0.07,0.07,0.73,2,False,4,3.0,318423,321105,Diogo,Santana,DS,1,De tu Madre FC
621,João,Félix Sequeira,6,3,29,0,0,0,0,0,0,0,1,0,0,0,-1,0.0,3.4,8.0,1.1,0,0.0,0.02,0.02,0.22,0,False,4,14.0,318423,321105,Diogo,Santana,DS,1,De tu Madre FC
17,Bukayo,Saka,1,3,85,0,1,1,0,0,0,0,0,0,0,1,25,27.0,35.0,13.0,7.5,1,0.05,0.35,0.4,0.65,7,False,4,5.0,319681,322369,Bernardo,Moura,BM,5,Jurojocav2
36,Lucas,Digne,2,2,68,0,1,0,2,0,0,0,0,0,0,0,26,30.8,54.0,2.0,8.7,1,0.0,0.68,0.68,0.67,4,False,4,4.0,319681,322369,Bernardo,Moura,BM,5,Jurojocav2
44,Ezri,Konsa Ngoyo,2,2,90,0,0,0,2,0,0,0,0,0,0,0,12,17.6,7.8,2.0,2.7,1,0.0,0.01,0.01,0.9,1,False,4,2.0,319681,322369,Bernardo,Moura,BM,5,Jurojocav2
